,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV275,k__norank_Bacteria,p__Epsilonbacteraeota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Arcobacter,s__metagenome
ASV274,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Thauera,s__norank_Thauera
ASV273,k__norank_Bacteria,p__Bacteroidetes,c__Ignavibacteria,o__Ignavibacteriales,f__PHOS-HE36,g__norank_PHOS-HE36,s__norank_PHOS-HE36
ASV272,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Competibacterales,f__Competibacteraceae,g__Candidatus_Competibacter,s__norank_Candidatus_Competibacter
ASV271,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,g__Ellin6067,s__norank_Ellin6067
ASV270,k__norank_Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45,g__norank_JG30-KF-CM45,s__norank_JG30-KF-CM45
ASV27,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_Saccharimonadales,g__norank_Saccharimonadales,s__norank_Saccharimonadales
ASV269,k__norank_Bacteria,p__Planctomycetes,c__OM190,o__norank_OM190,f__norank_OM190,g__norank_OM190,s__norank_OM190
ASV268,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,s__Pedobacter_sp._N007N
ASV267,k__norank_Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Dongiales,f__Dongiaceae,g__Dongia,s__Azospirillum_sp._T2-YC6788
ASV266,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Enterobacter,s__Enterobacter_sp._Fm48
ASV265,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Thauera,s__norank_Thauera
ASV264,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Thauera,s__norank_Thauera
ASV263,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Thauera,s__norank_Thauera
ASV262,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Thauera,s__norank_Thauera
